Категория *;Название *;Slug;H1;Title (SEO);Description (SEO);Толщина (мм);Ширина (мм);Состояние;Поверхность;Цена за кг (?) *;Срок поставки;Изображение
304L;Лента нержавеющая 2.00x25 мм AISI 304L высоконагартованная 2BA;lenta-nerzhaveyuschaya-2-00x25-mm-aisi-304l-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;2;25;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-2-00x25-mm-aisi-304l-vysokonagartovannaya-2ba.jpg
304L;Лента нержавеющая 0.15x350 мм AISI 304L мягкая 2BA;lenta-nerzhaveyuschaya-0-15x350-mm-aisi-304l-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,15;350;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-15x350-mm-aisi-304l-myagkaya-2ba.jpg
304L;Лента нержавеющая 0.15x250 мм AISI 304L нагартованная BA;lenta-nerzhaveyuschaya-0-15x250-mm-aisi-304l-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,15;250;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-15x250-mm-aisi-304l-nagartovannaya-ba.jpg
304L;Лента нержавеющая 1.50x100 мм AISI 304L нагартованная 2BA;lenta-nerzhaveyuschaya-1-50x100-mm-aisi-304l-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1,5;100;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-50x100-mm-aisi-304l-nagartovannaya-2ba.jpg
304L;Лента нержавеющая 4.00x20 мм AISI 304L мягкая 2B;lenta-nerzhaveyuschaya-4-00x20-mm-aisi-304l-myagkaya-2b;сам впишу;сам впишу;сам впишу;4;20;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-4-00x20-mm-aisi-304l-myagkaya-2b.jpg
304L;Лента нержавеющая 3.50x130 мм AISI 304L мягкая 2B;lenta-nerzhaveyuschaya-3-50x130-mm-aisi-304l-myagkaya-2b;сам впишу;сам впишу;сам впишу;3,5;130;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-3-50x130-mm-aisi-304l-myagkaya-2b.jpg
304L;Лента нержавеющая 1.00x160 мм AISI 304L высоконагартованная 2B;lenta-nerzhaveyuschaya-1-00x160-mm-aisi-304l-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;1;160;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-1-00x160-mm-aisi-304l-vysokonagartovannaya-2b.jpg
304L;Лента нержавеющая 0.70x250 мм AISI 304L нагартованная 2B;lenta-nerzhaveyuschaya-0-70x250-mm-aisi-304l-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,7;250;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-70x250-mm-aisi-304l-nagartovannaya-2b.jpg
304L;Лента нержавеющая 0.12x110 мм AISI 304L высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-12x110-mm-aisi-304l-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,12;110;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-12x110-mm-aisi-304l-vysokonagartovannaya-2ba.jpg
304L;Лента нержавеющая 0.90x400 мм AISI 304L высоконагартованная BA;lenta-nerzhaveyuschaya-0-90x400-mm-aisi-304l-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,9;400;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-90x400-mm-aisi-304l-vysokonagartovannaya-ba.jpg
304L;Лента нержавеющая 0.45x190 мм AISI 304L мягкая 2B;lenta-nerzhaveyuschaya-0-45x190-mm-aisi-304l-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,45;190;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-45x190-mm-aisi-304l-myagkaya-2b.jpg
304L;Лента нержавеющая 0.80x20 мм AISI 304L мягкая 2B;lenta-nerzhaveyuschaya-0-80x20-mm-aisi-304l-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,8;20;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-80x20-mm-aisi-304l-myagkaya-2b.jpg
304L;Лента нержавеющая 1.50x230 мм AISI 304L мягкая 2BA;lenta-nerzhaveyuschaya-1-50x230-mm-aisi-304l-myagkaya-2ba;сам впишу;сам впишу;сам впишу;1,5;230;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-1-50x230-mm-aisi-304l-myagkaya-2ba.jpg
304L;Лента нержавеющая 0.45x200 мм AISI 304L нагартованная 2BA;lenta-nerzhaveyuschaya-0-45x200-mm-aisi-304l-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,45;200;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-45x200-mm-aisi-304l-nagartovannaya-2ba.jpg
304L;Лента нержавеющая 0.80x370 мм AISI 304L высоконагартованная 2B;lenta-nerzhaveyuschaya-0-80x370-mm-aisi-304l-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,8;370;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-80x370-mm-aisi-304l-vysokonagartovannaya-2b.jpg
304L;Лента нержавеющая 2.50x350 мм AISI 304L высоконагартованная BA;lenta-nerzhaveyuschaya-2-50x350-mm-aisi-304l-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;2,5;350;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-2-50x350-mm-aisi-304l-vysokonagartovannaya-ba.jpg
304L;Лента нержавеющая 0.35x40 мм AISI 304L нагартованная BA;lenta-nerzhaveyuschaya-0-35x40-mm-aisi-304l-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,35;40;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-35x40-mm-aisi-304l-nagartovannaya-ba.jpg
304L;Лента нержавеющая 0.05x120 мм AISI 304L мягкая 2BA;lenta-nerzhaveyuschaya-0-05x120-mm-aisi-304l-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,05;120;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-05x120-mm-aisi-304l-myagkaya-2ba.jpg
304L;Лента нержавеющая 0.80x150 мм AISI 304L высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-80x150-mm-aisi-304l-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,8;150;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-80x150-mm-aisi-304l-vysokonagartovannaya-2ba.jpg
304L;Лента нержавеющая 1.20x190 мм AISI 304L высоконагартованная 2B;lenta-nerzhaveyuschaya-1-20x190-mm-aisi-304l-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;1,2;190;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-1-20x190-mm-aisi-304l-vysokonagartovannaya-2b.jpg
304L;Лента нержавеющая 3.00x10 мм AISI 304L нагартованная 2BA;lenta-nerzhaveyuschaya-3-00x10-mm-aisi-304l-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;3;10;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-3-00x10-mm-aisi-304l-nagartovannaya-2ba.jpg
304L;Лента нержавеющая 0.70x1000 мм AISI 304L мягкая BA;lenta-nerzhaveyuschaya-0-70x1000-mm-aisi-304l-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,7;1000;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-70x1000-mm-aisi-304l-myagkaya-ba.jpg
304L;Лента нержавеющая 0.06x110 мм AISI 304L мягкая 2BA;lenta-nerzhaveyuschaya-0-06x110-mm-aisi-304l-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,06;110;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-06x110-mm-aisi-304l-myagkaya-2ba.jpg
310;Лента нержавеющая 0.08x280 мм AISI 310 высоконагартованная 2B;lenta-nerzhaveyuschaya-0-08x280-mm-aisi-310-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,08;280;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-08x280-mm-aisi-310-vysokonagartovannaya-2b.jpg
310;Лента нержавеющая 3.00x260 мм AISI 310 мягкая 2BA;lenta-nerzhaveyuschaya-3-00x260-mm-aisi-310-myagkaya-2ba;сам впишу;сам впишу;сам впишу;3;260;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-3-00x260-mm-aisi-310-myagkaya-2ba.jpg
310;Лента нержавеющая 0.25x320 мм AISI 310 нагартованная 2BA;lenta-nerzhaveyuschaya-0-25x320-mm-aisi-310-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,25;320;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-25x320-mm-aisi-310-nagartovannaya-2ba.jpg
310;Лента нержавеющая 0.18x350 мм AISI 310 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-18x350-mm-aisi-310-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,18;350;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-18x350-mm-aisi-310-vysokonagartovannaya-2ba.jpg
310;Лента нержавеющая 0.18x150 мм AISI 310 высоконагартованная BA;lenta-nerzhaveyuschaya-0-18x150-mm-aisi-310-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,18;150;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-18x150-mm-aisi-310-vysokonagartovannaya-ba.jpg
310;Лента нержавеющая 1.50x320 мм AISI 310 мягкая BA;lenta-nerzhaveyuschaya-1-50x320-mm-aisi-310-myagkaya-ba;сам впишу;сам впишу;сам впишу;1,5;320;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-1-50x320-mm-aisi-310-myagkaya-ba.jpg
310;Лента нержавеющая 0.20x100 мм AISI 310 нагартованная 2B;lenta-nerzhaveyuschaya-0-20x100-mm-aisi-310-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,2;100;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-20x100-mm-aisi-310-nagartovannaya-2b.jpg
310;Лента нержавеющая 0.05x400 мм AISI 310 мягкая 2BA;lenta-nerzhaveyuschaya-0-05x400-mm-aisi-310-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,05;400;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-05x400-mm-aisi-310-myagkaya-2ba.jpg
310;Лента нержавеющая 1.00x25 мм AISI 310 высоконагартованная 2BA;lenta-nerzhaveyuschaya-1-00x25-mm-aisi-310-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1;25;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-00x25-mm-aisi-310-vysokonagartovannaya-2ba.jpg
310;Лента нержавеющая 0.06x100 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-0-06x100-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,06;100;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-06x100-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 0.35x25 мм AISI 310 мягкая 2BA;lenta-nerzhaveyuschaya-0-35x25-mm-aisi-310-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,35;25;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-35x25-mm-aisi-310-myagkaya-2ba.jpg
310;Лента нержавеющая 0.25x280 мм AISI 310 высоконагартованная 2B;lenta-nerzhaveyuschaya-0-25x280-mm-aisi-310-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,25;280;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-25x280-mm-aisi-310-vysokonagartovannaya-2b.jpg
310;Лента нержавеющая 0.12x380 мм AISI 310 нагартованная 2BA;lenta-nerzhaveyuschaya-0-12x380-mm-aisi-310-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,12;380;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-12x380-mm-aisi-310-nagartovannaya-2ba.jpg
310;Лента нержавеющая 0.20x260 мм AISI 310 мягкая BA;lenta-nerzhaveyuschaya-0-20x260-mm-aisi-310-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,2;260;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-20x260-mm-aisi-310-myagkaya-ba.jpg
310;Лента нержавеющая 0.10x35 мм AISI 310 нагартованная 2BA;lenta-nerzhaveyuschaya-0-10x35-mm-aisi-310-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,1;35;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-10x35-mm-aisi-310-nagartovannaya-2ba.jpg
310;Лента нержавеющая 0.40x230 мм AISI 310 нагартованная BA;lenta-nerzhaveyuschaya-0-40x230-mm-aisi-310-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,4;230;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-40x230-mm-aisi-310-nagartovannaya-ba.jpg
310;Лента нержавеющая 2.50x600 мм AISI 310 нагартованная 2B;lenta-nerzhaveyuschaya-2-50x600-mm-aisi-310-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;2,5;600;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-2-50x600-mm-aisi-310-nagartovannaya-2b.jpg
310;Лента нержавеющая 2.50x35 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-2-50x35-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;2,5;35;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-2-50x35-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 0.60x45 мм AISI 310 мягкая BA;lenta-nerzhaveyuschaya-0-60x45-mm-aisi-310-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,6;45;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-60x45-mm-aisi-310-myagkaya-ba.jpg
310;Лента нержавеющая 0.25x250 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-0-25x250-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,25;250;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-25x250-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 0.60x370 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-0-60x370-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,6;370;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-60x370-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 1.50x10 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-1-50x10-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;1,5;10;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-1-50x10-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 0.15x220 мм AISI 310 нагартованная BA;lenta-nerzhaveyuschaya-0-15x220-mm-aisi-310-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,15;220;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-15x220-mm-aisi-310-nagartovannaya-ba.jpg
310;Лента нержавеющая 0.18x210 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-0-18x210-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,18;210;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-18x210-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 0.45x10 мм AISI 310 нагартованная BA;lenta-nerzhaveyuschaya-0-45x10-mm-aisi-310-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,45;10;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-45x10-mm-aisi-310-nagartovannaya-ba.jpg
310;Лента нержавеющая 3.50x140 мм AISI 310 высоконагартованная BA;lenta-nerzhaveyuschaya-3-50x140-mm-aisi-310-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;3,5;140;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-3-50x140-mm-aisi-310-vysokonagartovannaya-ba.jpg
310;Лента нержавеющая 2.50x370 мм AISI 310 высоконагартованная 2BA;lenta-nerzhaveyuschaya-2-50x370-mm-aisi-310-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;2,5;370;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-2-50x370-mm-aisi-310-vysokonagartovannaya-2ba.jpg
310;Лента нержавеющая 0.70x140 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-0-70x140-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,7;140;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-70x140-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 1.00x20 мм AISI 310 нагартованная 2BA;lenta-nerzhaveyuschaya-1-00x20-mm-aisi-310-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1;20;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-00x20-mm-aisi-310-nagartovannaya-2ba.jpg
310;Лента нержавеющая 0.06x20 мм AISI 310 нагартованная 2BA;lenta-nerzhaveyuschaya-0-06x20-mm-aisi-310-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,06;20;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-06x20-mm-aisi-310-nagartovannaya-2ba.jpg
310;Лента нержавеющая 0.80x320 мм AISI 310 мягкая 2B;lenta-nerzhaveyuschaya-0-80x320-mm-aisi-310-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,8;320;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-80x320-mm-aisi-310-myagkaya-2b.jpg
310;Лента нержавеющая 0.80x70 мм AISI 310 высоконагартованная 2B;lenta-nerzhaveyuschaya-0-80x70-mm-aisi-310-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,8;70;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-80x70-mm-aisi-310-vysokonagartovannaya-2b.jpg
310;Лента нержавеющая 0.08x110 мм AISI 310 мягкая BA;lenta-nerzhaveyuschaya-0-08x110-mm-aisi-310-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,08;110;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-08x110-mm-aisi-310-myagkaya-ba.jpg
310;Лента нержавеющая 1.00x15 мм AISI 310 мягкая 2BA;lenta-nerzhaveyuschaya-1-00x15-mm-aisi-310-myagkaya-2ba;сам впишу;сам впишу;сам впишу;1;15;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-1-00x15-mm-aisi-310-myagkaya-2ba.jpg
310;Лента нержавеющая 0.50x400 мм AISI 310 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-50x400-mm-aisi-310-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,5;400;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-50x400-mm-aisi-310-vysokonagartovannaya-2ba.jpg
310;Лента нержавеющая 0.35x120 мм AISI 310 высоконагартованная 2B;lenta-nerzhaveyuschaya-0-35x120-mm-aisi-310-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,35;120;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-35x120-mm-aisi-310-vysokonagartovannaya-2b.jpg
310;Лента нержавеющая 2.00x120 мм AISI 310 мягкая BA;lenta-nerzhaveyuschaya-2-00x120-mm-aisi-310-myagkaya-ba;сам впишу;сам впишу;сам впишу;2;120;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-2-00x120-mm-aisi-310-myagkaya-ba.jpg
310;Лента нержавеющая 1.80x250 мм AISI 310 мягкая BA;lenta-nerzhaveyuschaya-1-80x250-mm-aisi-310-myagkaya-ba;сам впишу;сам впишу;сам впишу;1,8;250;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-1-80x250-mm-aisi-310-myagkaya-ba.jpg
310;Лента нержавеющая 0.05x250 мм AISI 310 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-05x250-mm-aisi-310-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,05;250;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-05x250-mm-aisi-310-vysokonagartovannaya-2ba.jpg
310;Лента нержавеющая 0.10x25 мм AISI 310 мягкая 2BA;lenta-nerzhaveyuschaya-0-10x25-mm-aisi-310-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,1;25;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-10x25-mm-aisi-310-myagkaya-2ba.jpg
310S;Лента нержавеющая 0.80x180 мм AISI 310S мягкая 2B;lenta-nerzhaveyuschaya-0-80x180-mm-aisi-310s-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,8;180;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-80x180-mm-aisi-310s-myagkaya-2b.jpg
310S;Лента нержавеющая 0.40x140 мм AISI 310S нагартованная 2B;lenta-nerzhaveyuschaya-0-40x140-mm-aisi-310s-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,4;140;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-40x140-mm-aisi-310s-nagartovannaya-2b.jpg
310S;Лента нержавеющая 4.00x150 мм AISI 310S высоконагартованная 2BA;lenta-nerzhaveyuschaya-4-00x150-mm-aisi-310s-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;4;150;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-4-00x150-mm-aisi-310s-vysokonagartovannaya-2ba.jpg
